Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,03-04-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000299, 545.00 
Home Office,DBS - Disclosure & Barring Service,03-04-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000299," 3,935.00 "
Home Office,DBS - Disclosure & Barring Service,03-04-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000299," 87,838.00 "
Home Office,DBS - Disclosure & Barring Service,03-04-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000299," 97,165.00 "
Home Office,DBS - Disclosure & Barring Service,06-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1001994772," 8,246.44 "
Home Office,DBS - Disclosure & Barring Service,06-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1001994772," 40,593.10 "
Home Office,DBS - Disclosure & Barring Service,06-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1001994772," 130,116.56 "
Home Office,DBS - Disclosure & Barring Service,06-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1001994772," 172,889.66 "
Home Office,DBS - Disclosure & Barring Service,06-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1001994772," 277,237.57 "
Home Office,DBS - Disclosure & Barring Service,13-04-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001997518," 37,363.68 "
Home Office,DBS - Disclosure & Barring Service,13-04-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE (G),1001997521," 44,915.97 "
Home Office,DBS - Disclosure & Barring Service,13-04-2017,"Science, Technical & Research",DBS - Disclosure & Barring Service,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MRI,1001997784," 45,990.00 "
Home Office,DBS - Disclosure & Barring Service,19-04-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000300," 88,433.28 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ATOS IT SERVICES UK LTD,1002000315," 25,033.20 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ATOS IT SERVICES UK LTD,1002000315," 201,424.54 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ATOS IT SERVICES UK LTD,1002000315," 656,803.02 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002000414," 27,116.28 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002000414," 74,166.76 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002000414," 86,474.54 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002000414," 144,680.06 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002000414," 301,507.80 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002000497," 35,784.00 "
Home Office,DBS - Disclosure & Barring Service,21-04-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002000497," 51,120.00 "
Home Office,DBS - Disclosure & Barring Service,24-04-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1002001015," 121,083.09 "
Home Office,DBS - Disclosure & Barring Service,24-04-2017,Other Government Department,DBS - Disclosure & Barring Service,SCOTTISH POLICE AUTHORITY,1002001076," 87,417.88 "
Home Office,DBS - Disclosure & Barring Service,24-04-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002001081," 23,557.50 "
Home Office,DBS - Disclosure & Barring Service,24-04-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002001081," 36,274.95 "
Home Office,DBS - Disclosure & Barring Service,24-04-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002001081," 36,601.47 "
Home Office,DBS - Disclosure & Barring Service,25-04-2017,Grant,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002001432," 54,242.92 "
Home Office,DBS - Disclosure & Barring Service,25-04-2017,Grant,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002001450," 70,185.26 "
Home Office,DBS - Disclosure & Barring Service,25-04-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002001452," 82,183.41 "
Home Office,DBS - Disclosure & Barring Service,25-04-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002001453," 237,149.71 "
