Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Grant,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002003660," 864,583.31 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Legal Services & Fees,DBS - Disclosure & Barring Service,BRISTOWS LLP,1002003946," 26,326.20 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Other Government Department,DBS - Disclosure & Barring Service,LIVERPOOL CITY COUNCIL,1002004057," 124,162.29 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Other Government Department,DBS - Disclosure & Barring Service,LIVERPOOL CITY COUNCIL,1002004057," 373,620.00 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 412,770.28 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 439,300.38 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 474,100.24 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 562,151.52 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 869,040.36 "
Home Office,DBS - Disclosure & Barring Service,02-05-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002004105," 869,040.36 "
Home Office,DBS - Disclosure & Barring Service,03-05-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000302," 130,128.97 "
Home Office,DBS - Disclosure & Barring Service,05-05-2017,Other Government Department,DBS - Disclosure & Barring Service,CROWN COMMERCIAL SERVICE,3000053726," 31,146.00 "
Home Office,DBS - Disclosure & Barring Service,09-05-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000303," 43,864.50 "
