Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002016717,"55,273.10"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002016740,"656,162.65"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002016741,"71,923.89"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002016744,"116,845.42"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002016745,"42,252.39"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002016748,"34,239.50"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002016748,"37,363.68"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE (G),1002016758,"130,173.97"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE (G),1002016759,"67,791.98"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE) (G),1002016760,"58,867.13"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE (G),1002016762,"45,261.87"
Home Office,DBS - Disclosure & Barring Service,01-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1002016763,"37,699.09"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"3,120.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"3,600.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"4,008.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"12,240.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"13,822.67"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"15,288.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"15,504.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"15,600.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"16,416.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"20,544.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"20,544.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"20,704.50"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"21,384.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"21,840.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"24,180.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"24,300.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"25,758.00"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"108,021.80"
Home Office,DBS - Disclosure & Barring Service,02-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002017521,"142,564.80"
Home Office,DBS - Disclosure & Barring Service,05-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002018114,"-91,059.00"
Home Office,DBS - Disclosure & Barring Service,05-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002018114,"150,000.00"
Home Office,DBS - Disclosure & Barring Service,05-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002018114,"447,927.60"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"11,380.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"11,568.38"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"12,870.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"16,416.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"18,564.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"19,656.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"20,064.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"20,209.92"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"21,138.59"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"21,840.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"24,180.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"27,360.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"27,787.50"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"29,055.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"30,096.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"33,744.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"34,320.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"34,992.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"34,992.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"36,480.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"36,660.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"36,936.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"38,880.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"39,780.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"44,120.28"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"44,712.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"48,600.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002019048,"71,928.00"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002019090,"25,793.14"
Home Office,DBS - Disclosure & Barring Service,07-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002019090,"25,793.14"
Home Office,DBS - Disclosure & Barring Service,09-06-2017,Building Construction & Maintenance,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002020135,"4,999.20"
Home Office,DBS - Disclosure & Barring Service,09-06-2017,Building Construction & Maintenance,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002020135,"24,000.00"
Home Office,DBS - Disclosure & Barring Service,09-06-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002020135,"65,943.23"
Home Office,DBS - Disclosure & Barring Service,16-06-2017,Legal Services & Fees,DBS - Disclosure & Barring Service,GOVERNMENT LEGAL DEPARTMENT,3000053875,"433,367.82"
Home Office,DBS - Disclosure & Barring Service,20-06-2017,Legal Services & Fees,DBS - Disclosure & Barring Service,GOVERNMENT LEGAL DEPARTMENT,3000053891,"50,000.00"
Home Office,DBS - Disclosure & Barring Service,21-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002024901,"25,966.79"
Home Office,DBS - Disclosure & Barring Service,21-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002024901,"27,357.53"
Home Office,DBS - Disclosure & Barring Service,21-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002024901,"30,093.52"
Home Office,DBS - Disclosure & Barring Service,21-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1002024922,"119,041.22"
Home Office,DBS - Disclosure & Barring Service,22-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002025231,"55,102.47"
Home Office,DBS - Disclosure & Barring Service,22-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002025235,"39,500.90"
Home Office,DBS - Disclosure & Barring Service,22-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002025238,"25,114.59"
Home Office,DBS - Disclosure & Barring Service,22-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002025245,"30,887.13"
Home Office,DBS - Disclosure & Barring Service,22-06-2017,Police Disclosure Costs,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002025246,"79,058.60"
