Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000308," 97,408.30 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000309," 172,650.30 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Education & Training Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1002029513,"-75,529.76 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Education & Training Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1002029513,"-57,134.65 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Education & Training Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1002029513,"-55,036.08 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Education & Training Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1002029513," 55,036.08 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,Education & Training Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1002029513," 57,134.65 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002029616," 15,997.08 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002029616," 108,157.72 "
Home Office,DBS - Disclosure & Barring Service,03-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002029616," 108,157.72 "
Home Office,DBS - Disclosure & Barring Service,05-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ORACLE CORPORATION UK LIMITED,1002030678," 953,439.72 "
Home Office,DBS - Disclosure & Barring Service,11-07-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000311," 112,701.16 "
Home Office,DBS - Disclosure & Barring Service,11-07-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000312," 95,792.50 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 9,469.04 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 14,533.54 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 15,210.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 15,480.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 16,560.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 17,280.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 18,468.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 20,064.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 20,748.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 23,205.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 24,396.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 28,860.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 29,853.00 "
Home Office,DBS - Disclosure & Barring Service,13-07-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002034027," 30,816.00 "
