Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,01-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039732,"-103,635.60 "
Home Office,DBS - Disclosure & Barring Service,01-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039732," 60,000.00 "
Home Office,DBS - Disclosure & Barring Service,01-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039732," 84,632.40 "
Home Office,DBS - Disclosure & Barring Service,01-08-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039732," 153,011.80 "
Home Office,DBS - Disclosure & Barring Service,02-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039964, 0.92 
Home Office,DBS - Disclosure & Barring Service,02-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039964," 97,834.98 "
Home Office,DBS - Disclosure & Barring Service,02-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039964," 97,834.98 "
Home Office,DBS - Disclosure & Barring Service,02-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002039964," 231,946.72 "
Home Office,DBS - Disclosure & Barring Service,10-08-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000315," 12,931.49 "
Home Office,DBS - Disclosure & Barring Service,10-08-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000315," 52,043.93 "
Home Office,DBS - Disclosure & Barring Service,10-08-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000315," 87,837.52 "
Home Office,DBS - Disclosure & Barring Service,11-08-2017,Professional & Administration Services,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD (E),1002045425," 25,616.45 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000316,50000
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 8,208.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 10,944.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 12,480.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 20,280.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 23,503.18 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 24,396.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 28,080.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 28,080.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 36,936.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 38,394.00 "
Home Office,DBS - Disclosure & Barring Service,17-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002047733," 47,427.76 "
Home Office,DBS - Disclosure & Barring Service,18-08-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002048249,189078.72
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 9,747.90 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 10,800.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 11,520.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 13,680.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 13,860.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 19,656.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 36,936.00 "
Home Office,DBS - Disclosure & Barring Service,21-08-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002048643," 38,076.00 "
Home Office,DBS - Disclosure & Barring Service,24-08-2017,Grant,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002049747,1429833.93
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002050222,55087.69
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002050223,81328.12
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002050224,25115.05
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1002050228,121864.1
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1002050230,216370.56
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002050231,89945.01
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1002050232,27538.84
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002050233,110509.45
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002050234,38907.58
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1002050239,46515.27
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL (G),1002050240,71061.6
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX  (G),1002050241,348775.68
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE (G),1002050244,27053.87
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES (G),1002050247,47543.17
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE (G),1002050249,87763.26
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY (G),1002050250,52560.64
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1002050251,40357.09
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR WILTSHIRE (THE) (G),1002050252,71550.6
Home Office,DBS - Disclosure & Barring Service,25-08-2017,Grant,DBS - Disclosure & Barring Service,WEST MERCIA PCC (G),1002050255,34900.98
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Other Government Department,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002051160,51779.67
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Other Government Department,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT,1002051161," 50,987.58 "
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Other Government Department,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT,1002051161," 88,845.57 "
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,ROYAL MILITARY POLICE FORCE,1002051167," 25,278.80 "
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,ROYAL MILITARY POLICE FORCE,1002051167," 88,458.20 "
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Other Government Department,DBS - Disclosure & Barring Service,SCOTTISH POLICE AUTHORITY,1002051168,59634
Home Office,DBS - Disclosure & Barring Service,29-08-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1002051180,122532.99
Home Office,Home Office,07-08-2017,Grant,"BICS - Borders, Immigration & Citizenship System",OFFICE OF THE IMMIGRATION SERVICES COMMISSIONER (OISC ) (G),3000054092,301667
Home Office,Home Office,09-08-2017,Misc Services,"BICS - Borders, Immigration & Citizenship System",EUROPEAN COMMISSION,7000013023,60799.46
Home Office,Home Office,01-08-2017,Grant,CPFG - Crime Policing & Fire Group,BARNARDOS (G),1002039482,224542.19
Home Office,Home Office,01-08-2017,Grant,CPFG - Crime Policing & Fire Group,GANGMASTERS LICENSING AUTHORITY (G),1002039484,504667
Home Office,Home Office,01-08-2017,Grant,CPFG - Crime Policing & Fire Group,NEIGHBOURHOOD AND HOMEWATCH NETWORK (ENGLAND AND WALES) NETWORK (G),1002039486,63500
Home Office,Home Office,01-08-2017,"IT, Telecomms - Run Costs",CPFG - Crime Policing & Fire Group,VERIZON UK LTD,1002039736,38490.12
Home Office,Home Office,02-08-2017,"IT, Telecomms",CPFG - Crime Policing & Fire Group,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,1002039880,321162
Home Office,Home Office,02-08-2017,Other Government Department,CPFG - Crime Policing & Fire Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1002039936,31796.83
Home Office,Home Office,02-08-2017,Asset Clearing,CPFG - Crime Policing & Fire Group,SOPRA STERIA LTD,1002039956," 211,147.58 "
Home Office,Home Office,02-08-2017,Other Government Department,CPFG - Crime Policing & Fire Group,SUNDERLAND CITY COUNCIL,1002039962,25624.17
Home Office,Home Office,02-08-2017,Business Process Outsourcing,CPFG - Crime Policing & Fire Group,GOVERNMENT ACTUARY'S DEPARTMENT,3000054066," 67,073.87 "
