Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,01-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000317," 31,663.66 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000317," 177,668.17 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002052687," 12,863.45 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002052687," 46,222.37 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002052687," 149,677.12 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002052687," 175,273.85 "
Home Office,DBS - Disclosure & Barring Service,01-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002052687," 311,880.89 "
Home Office,DBS - Disclosure & Barring Service,05-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000318," 118,283.64 "
Home Office,DBS - Disclosure & Barring Service,05-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000319," 111,373.30 "
Home Office,DBS - Disclosure & Barring Service,05-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000320," 132,451.00 "
Home Office,DBS - Disclosure & Barring Service,05-09-2017,Accouting Officer,DBS - Disclosure & Barring Service,HOME OFFICE,9000321," 118,819.00 "
Home Office,DBS - Disclosure & Barring Service,06-09-2017,Utilities - Rates,DBS - Disclosure & Barring Service,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,1002054111," 11,744.78 "
Home Office,DBS - Disclosure & Barring Service,06-09-2017,Accomodation - Rent,DBS - Disclosure & Barring Service,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,1002054111," 93,941.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 17,024.39 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 19,152.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 19,305.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 21,019.50 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 31,200.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 32,100.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 35,880.00 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 35,977.50 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 45,246.60 "
Home Office,DBS - Disclosure & Barring Service,08-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002055234," 56,656.50 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 14,582.53 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 17,388.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 17,640.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 17,865.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 18,000.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 25,116.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 25,272.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002057389," 49,098.00 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002057522," 40,884.48 "
Home Office,DBS - Disclosure & Barring Service,14-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002057522," 71,617.06 "
Home Office,DBS - Disclosure & Barring Service,18-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002058516," 32,971.61 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002059439," 14,467.54 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002059439," 49,355.82 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002059439," 141,473.75 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002059439," 150,441.98 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002059439," 312,050.52 "
Home Office,DBS - Disclosure & Barring Service,20-09-2017,Accomodation - Rent,DBS - Disclosure & Barring Service,PEEL LAND & PROPERTY INVESTMENTS PLC,1002059472," 72,063.00 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1002061256," 50,376.30 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,Other Government Department,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1002061318," 26,876.84 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002061342," 71,272.08 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002061342," 83,910.00 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002061342," 83,910.00 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002061342," 83,910.00 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,"IT, Telecomms - Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002061342," 108,157.72 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,Other Government Department,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1002061344," 205,874.85 "
Home Office,DBS - Disclosure & Barring Service,25-09-2017,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1002061345," 86,410.10 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002061709," 53,919.44 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002061716," 26,296.07 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1002061734," 77,894.76 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1002061735," 119,808.42 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002061738," 57,141.60 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002061739," 163,569.80 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002061742," 38,907.58 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1002061745," 162,471.07 "
Home Office,DBS - Disclosure & Barring Service,26-09-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1002061749," 47,535.83 "
