Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002092069," 25,115.05 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 89,500.15 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 7,977.38 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 62,058.90 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 151,633.13 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 327,004.73 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,ENTSERV UK LTD,1002092326," 136,273.66 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC) (G),1002092078," 613,562.61 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1002092082," 31,421.70 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1002092083," 80,691.61 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1002092085," 46,829.07 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1002092087," 54,416.50 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1002092088," 38,907.58 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY (G),1002092097," 51,988.12 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE) (G),1002092098," 38,361.82 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE) (G),1002092100," 51,611.69 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002092401," 27,600.00 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,WEST MERCIA PCC (G),1002092103," 34,459.91 "
Home Office,DBS - Disclosure & Barring Service,01-12-2017,Grant,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME (G),1002092104," 138,292.00 "
Home Office,DBS - Disclosure & Barring Service,04-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000331," 190,421.83 "
Home Office,DBS - Disclosure & Barring Service,04-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000331," 165,644.25 "
Home Office,DBS - Disclosure & Barring Service,04-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000331," 40,715.66 "
Home Office,DBS - Disclosure & Barring Service,04-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000331," 21,153.73 "
Home Office,DBS - Disclosure & Barring Service,06-12-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002094497," 27,450.76 "
Home Office,DBS - Disclosure & Barring Service,07-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000333," 1,117,308.00 "
Home Office,DBS - Disclosure & Barring Service,07-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000333," 456,225.60 "
Home Office,DBS - Disclosure & Barring Service,07-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000332," 129,267.00 "
Home Office,DBS - Disclosure & Barring Service,07-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000332," 52,783.20 "
Home Office,DBS - Disclosure & Barring Service,11-12-2017,Other Government Department ,DBS - Disclosure & Barring Service,GOVERNMENT LEGAL DEPARTMENT,3000054678," 8,443.33 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 9,917.40 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 10,800.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 13,680.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 12,960.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 13,680.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 2,184.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 32,064.00 "
Home Office,DBS - Disclosure & Barring Service,14-12-2017,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002098546," 13,200.00 "
