Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 13,474.82 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 12,960.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 12,600.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 13,680.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 14,400.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 21,840.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 42,084.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 19,800.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 32,805.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 16,200.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 8,910.00 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 10,631.26 "
Home Office,DBS - Disclosure & Barring Service,05-02-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002117862," 20,040.00 "
Home Office,DBS - Disclosure & Barring Service,08-02-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002119804," 25,252.08 "
Home Office,DBS - Disclosure & Barring Service,08-02-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002119804," 825,166.74 "
Home Office,DBS - Disclosure & Barring Service,12-02-2018,Legal Fees & Services,DBS - Disclosure & Barring Service,CRIPPS HARRIES HALL,1002121333," 324,391.70 "
Home Office,DBS - Disclosure & Barring Service,21-02-2018,Other Government Department ,DBS - Disclosure & Barring Service,GOVERNMENT LEGAL DEPARTMENT,3000054996," 12,108.45 "
Home Office,DBS - Disclosure & Barring Service,22-02-2018,Grant,DBS - Disclosure & Barring Service,AVON & SOMERSET CONSTABULARY (G),1002126014," 110,553.78 "
Home Office,DBS - Disclosure & Barring Service,22-02-2018,Grant,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1002126020," 33,151.45 "
Home Office,DBS - Disclosure & Barring Service,22-02-2018,Grant,DBS - Disclosure & Barring Service,CUMBRIA POLICE & CRIME COMMISSIONER (G),1002126028," 25,238.71 "
