Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 11,043.82 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 13,320.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 28,800.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 14,400.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 21,840.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 27,720.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 45,927.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 12,960.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 6,196.50 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 12,150.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 43,148.63 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 20,040.00 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 22,850.06 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 19,451.88 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 29,414.34 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 1,411.52 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 17,946.92 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693, 285.00 
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 19,871.79 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 25,365.60 "
Home Office,DBS - Disclosure & Barring Service,02-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002104693," 1,710.20 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 13,802.16 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 7,632.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 48,471.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 30,127.50 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 29,640.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 30,030.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 7,800.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 39,852.00 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 25,760.26 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 16,585.37 "
Home Office,DBS - Disclosure & Barring Service,08-01-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002106615," 9,540.00 "
