Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,05-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000339," 120,244.80 "
Home Office,DBS - Disclosure & Barring Service,05-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000338," 93,132.40 "
Home Office,DBS - Disclosure & Barring Service,05-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000337," 98,655.72 "
Home Office,DBS - Disclosure & Barring Service,06-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000340," 47,700.00 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 1,953.00 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 1,221.01 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 3,710.70 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 21,365.64 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 22,662.42 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 1,003.20 "
Home Office,DBS - Disclosure & Barring Service,09-03-2018,"IT, Telecoms - IT Run Costs",DBS - Disclosure & Barring Service,IBM UNITED KINGDOM LTD,1002132435," 10,615.66 "
Home Office,DBS - Disclosure & Barring Service,12-03-2018,Education & Training Services,DBS - Disclosure & Barring Service,CSL KORN FERRY HAY GROUP,1002133236," 29,599.20 "
Home Office,DBS - Disclosure & Barring Service,12-03-2018,Legal Fees & Services,DBS - Disclosure & Barring Service,BRISTOWS LLP,1002133155," 34,839.90 "
Home Office,DBS - Disclosure & Barring Service,15-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000342," 34,877.15 "
Home Office,DBS - Disclosure & Barring Service,15-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000342," 195,042.60 "
Home Office,DBS - Disclosure & Barring Service,15-03-2018,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000341," 71,452.69 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 310,485.73 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-253,895.12 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 650,946.58 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-532,301.96 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 69,549.20 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-56,872.82 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 43,612.08 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-35,663.14 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 67,719.18 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-55,376.36 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 5,139,301.32 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-1,522,358.77 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 1,634,864.57 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-484,272.50 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 1,369,357.69 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-405,625.21 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 1,105,942.38 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-327,597.46 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 1,306,751.44 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-387,080.24 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958," 645,803.58 "
Home Office,DBS - Disclosure & Barring Service,23-03-2018,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002139958,"-191,297.14 "
