Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,   Spend   
Home Office,DBS - Disclosure & Barring Service,03-11-2017,Other Government Department ,DBS - Disclosure & Barring Service,The Accounting Officer,9000329," 226,478.70 "
Home Office,DBS - Disclosure & Barring Service,09-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002081774," 26,917.97 "
Home Office,DBS - Disclosure & Barring Service,09-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002081774," 97,834.98 "
Home Office,DBS - Disclosure & Barring Service,10-11-2017,"Advertising, Media & Communications",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002082590," 29,850.00 "
Home Office,DBS - Disclosure & Barring Service,10-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002082590," 3,308.40 "
Home Office,DBS - Disclosure & Barring Service,10-11-2017,Legal Fees & Services,DBS - Disclosure & Barring Service,BRISTOWS LLP,1002082317," 25,894.44 "
Home Office,DBS - Disclosure & Barring Service,10-11-2017,Legal Fees & Services,DBS - Disclosure & Barring Service,BRISTOWS LLP,1002082317," 13,034.60 "
Home Office,DBS - Disclosure & Barring Service,14-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002083811," 25,606.08 "
Home Office,DBS - Disclosure & Barring Service,14-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002083811," 25,606.08 "
Home Office,DBS - Disclosure & Barring Service,15-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002084404," 64,355.90 "
Home Office,DBS - Disclosure & Barring Service,20-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002086498," 75,892.80 "
Home Office,DBS - Disclosure & Barring Service,20-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002086498," 731,984.74 "
Home Office,DBS - Disclosure & Barring Service,20-11-2017,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1002086498," 40,668.48 "
Home Office,DBS - Disclosure & Barring Service,21-11-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT (G),1002087012," 83,322.30 "
Home Office,DBS - Disclosure & Barring Service,21-11-2017,Grant,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE) (G),1002087014," 58,455.47 "
